Drug,SMILES,permeable
METHOTREXATE,CN(Cc1cnc2nc(nc(c2n1)N)N)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0
METHYLCHROMONE,CC1=COc2ccccc2C1=O,0
MIBEFRADIL,COCC(=O)O[C@]1(CCN(C)CCCc2[nH]c3ccccc3n2)CCc2cc(ccc2[C@@H]1C(C)C)F,0
MITOMYCIN,CO[C@@]12[C@@H](COC(N)=O)C3=C(N2C[C@H]2N[C@H]21)C(=O)C(=C(N)C3=O)C,0
NADOLOL,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,0
NELFINAVIR,Cc1c(cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O,0
NICARDIPINE,COC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1)C,0
NIFEDIPINE,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC)C,0
NITRENDIPINE,CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC)C,0
NORFLOXACIN,CCN1C=C(C(O)=O)C(=O)c2cc(c(cc12)N1CCNCC1)F,0
ONDANSETRON,Cn1c2c(c3ccccc13)C(=O)C(CC2)Cn1ccnc1C,0
PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(=C1C2(C)C)C,0
PRAVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,0
PROPAFENONE,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0
PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,0
QUINIDINE,COc1ccc2nccc(c2c1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C,0
QUININE,COc1ccc2nccc(c2c1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C,0
RIFAMPICIN,CO[C@H]1C=CO[C@@]2(C)Oc3c(c(c4c(c(c(c(c4c3C2=O)O)/C=N/N2CCN(C)CC2)NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C)O)O)C,0
RITONAVIR,CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1scnc1)Cc1ccccc1,0
SAQUINAVIR,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,0
TACROLIMUS,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H]([C@H](C[C@@H](C)CC(=C[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)C)OC)[C@H](C[C@H]2C)OC,0
TAMOXIFEN,CC/C(/c1ccccc1)=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C,0
TENIPOSIDE,COc1cc(cc(c1O)OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](O[C@H]3[C@H](O)[C@H]2O)c2sccc2)c2cc3c(cc12)OCO3,0
TERFENADINE,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,0
TOPOTECAN,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(Cc3cc4c(c(ccc4nc31)O)CN(C)C)C2=O,0
VERAPAMIL,COc1ccc(cc1OC)CCN(C)CCCC(C#N)(C(C)C)c1ccc(c(c1)OC)OC,0
VINBLASTINE,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)C(C2)(C(=O)OC)c2cc3c(cc2OC)N(C)[C@H]2[C@](O)([C@H](OC(C)=O)[C@]4(CC)C=CCN5CCC23[C@@H]54)C(=O)OC)C1,0
VINCRISTINE,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)[C@@](C2)(C(=O)OC)c2cc3c(cc2OC)N(C=O)[C@H]2[C@](O)([C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@@]23[C@@H]54)C(=O)OC)C1,0
VINDESINE,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)[C@@](C2)(C(=O)OC)c2cc3c(cc2OC)N(C)[C@H]2[C@](O)([C@H](O)[C@]4(CC)C=CCN5CC[C@@]23[C@@H]54)C(N)=O)C1,0
ADRIAMYCINOL-AGLYCONE,COc1cccc2c1C(=O)c1c(c3c(c(c1C2=O)O)C[C@](O)(C[C@@H]3O)C(O)CO)O,0
GRAMICIDIN-A,CC(C)C[C@@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO GRAMICIDIN-A,0
GRAMICIDIN-B,CC(C)CC(NC(=O)C(C)NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO,0
GRAMICIDIN-J2,CC(C)C[C@H](N)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](Cc1ccccc1)C=O GRAMICIDIN-J2,0
GRAMICIDIN-S,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O)C(C)C)C(C)C GRAMICIDIN-S,0
GRAMICIDIN-S-2,CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC1=O)C(C)C GRAMICIDIN-S-2,0
GRAMICIDIN-S-3,CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](CCCN)C=O GRAMICIDIN-S-3,0
PRISTINAMYCIN-IA,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(cc2)N(C)C)N(C)C(=O)C2CCCN2C1=O)c1ccccc1,0
PRISTINAMYCIN-IC,CC1OC(=O)C(NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(cc2)N(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C1NC(=O)c1ncccc1O)c1ccccc1,0
VALINOMYCIN,CC(C)C1NC(=O)C(C)OC(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(C)OC(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(C)OC(=O)C(NC(=O)C(OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,0
BENSERAZIDE,NC(CO)C(=O)NNCc1ccc(c(c1O)O)O BENSERAZIDE,0
EPINEPHRINE,CNC[C@H](O)c1ccc(c(c1)O)O EPINEPHRINE,0
ETILEFRINE,CCNCC(O)c1cccc(c1)O ETILEFRINE,0
FENOXAZOLINE,CC(C)c1ccccc1OCC1=NCCN1 FENOXAZOLINE,0
HYDROXYAMPHETAMINE,CC(N)Cc1ccc(cc1)O HYDROXYAMPHETAMINE,0
HYDROXYEPHEDRINE,CNC(C)C(O)c1ccc(cc1)O HYDROXYEPHEDRINE,0
MECLOXAMINE,CC(CN(C)C)OC(C)(c1ccccc1)c1ccc(cc1)Cl MECLOXAMINE,0
METHOXYPHEDRINE,CNC(C)C(=O)c1ccc(cc1)OC METHOXYPHEDRINE,0
NORFENEFRINE,NCC(O)c1cccc(c1)O NORFENEFRINE,0
THEODRENALINE,CN1C(=O)N(C)c2ncn(c2C1=O)CCNCC(O)c1ccc(c(c1)O)O THEODRENALINE,0
TYMAZOLINE,CC(C)c1ccc(cc1OCC1=NCCN1)C TYMAZOLINE,0
CARBIDOPA,C[C@@](Cc1ccc(c(c1)O)O)(NN)C(O)=O CARBIDOPA,0
CARBUTEROL,CC(C)(C)NCC(O)c1ccc(c(c1)NC(N)=O)O CARBUTEROL,0
DIPIVEFRINE,CNCC(O)c1ccc(c(c1)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C DIPIVEFRINE,0
DOPAMINE,NCCc1ccc(c(c1)O)O DOPAMINE,0
ORPHENADRINE,CN(C)CCOC(c1ccccc1)c1ccccc1C ORPHENADRINE,0
PIVENFRINE,CNCC(O)c1cccc(c1)OC(=O)C(C)(C)C PIVENFRINE,0
BEVONIUM,C[N+]1(C)CCCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1 BEVONIUM,0
EMEPRONIUM CARRAGHEENATE,CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1 EMEPRONIUM_CARRAGHEENATE,0
PENTAPIPERIUM,CCC(C)C(C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1 PENTAPIPERIUM,0
SULTROPONIUM,C[N+]1(CCCS([O-])(=O)=O)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1 SULTROPONIUM,0
TOLCAPONE,Cc1ccc(cc1)C(=O)c1cc(c(c(c1)[N+]([O-])=O)O)O TOLCAPONE,0
AMIKACIN,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](OC2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O AMIKACIN,0
APRAMYCIN,CN[C@H]1[C@@H](O)[C@H]2O[C@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@H](N)CC2O[C@@H]1O[C@H]1O[C@H](CO)[C@@H](N)[C@H](O)[C@H]1O APRAMYCIN,0
ARBEKACIN,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O ARBEKACIN,0
ASTROMICIN,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@@H](CC[C@H]2N)C(C)N)[C@H](O)C1N(C)C(=O)CN ASTROMICIN,0
BUTIKACIN,NCC[C@@H](O)CN[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O BUTIKACIN,0
CLINDAMYCIN-PHOSPHATE,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O CLINDAMYCIN-PHOSPHATE,0
DIBEKACIN,NC[C@@H]1CC[C@@H](N)[C@H](O1)O[C@@H]1[C@@H](N)C[C@@H](N)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H]1O DIBEKACIN,0
DIHYDROSTREPTOMYCIN,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)CO)O[C@H]1[C@H](O)[C@@H](O)[C@H](N/C(/N)=N)[C@@H](O)[C@@H]1N/C(/N)=N DIHYDROSTREPTOMYCIN,0
FRAMYCETIN,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@H]2O[C@@H](CO)[C@H](O[C@H]3O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O FRAMYCETIN,0
GENTAMICIN,CN[C@@H]1[C@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H]1O GENTAMICIN,0
ISEPAMYCIN,CN[C@H]1[C@@H](O)C(OC[C@]1(C)O)O[C@@H]1[C@@H](O)[C@H](OC2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1NC(=O)C(O)CN ISEPAMYCIN,0
BEKANAMYCIN,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O BEKANAMYCIN,0
KANAMYCIN,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](OC3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O KANAMYCIN,0
KITASAMYCIN,CO[C@H]1[C@H](O)CC(=O)O[C@H](C)CC=CC=C[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1OC1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C KITASAMYCIN,0
SEDECAMYCIN,C[C@@H]1[C@H]2C[C@H](OC(C)=O)C=CC(=CC[C@H](O)C=CC(=C[C@@H](NC(=O)C(C)=O)[C@](C)(C(=O)O2)C1=O)C)C SEDECAMYCIN,0
MIDECAMYCIN,CCC(=O)O[C@@H]1CC(=O)O[C@H](C)CC=CC=C[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@H]1OC MIDECAMYCIN,0
MIRINCAMYCIN,CCCCCC1CN[C@@H](C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O MIRINCAMYCIN,0
NEOMYCIN,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O NEOMYCIN,0
NETILMICIN,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(=CC[C@H]2N)CN)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O NETILMICIN,0
PROPIKACIN,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](NC(CO)CO)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O PROPIKACIN,0
SISOMICIN,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2OC(=CC[C@H]2N)CN)[C@@H]1O SISOMICIN,0
STREPTOMYCIN,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)C=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](N/C(/N)=N)[C@@H](O)[C@@H]1N/C(/N)=N STREPTOMYCIN,0
TOBRAMYCIN,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)C(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O TOBRAMYCIN,0
TROSPECTOMYCIN,CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1 TROSPECTOMYCIN,0
CEFTIBUTEN,Nc1scc(n1)/C(=C/CC(O)=O)/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O CEFTIBUTEN,0
ADICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)CCCC(N)C(O)=O)C(=O)N2[C@H]1C(O)=O ADICILLIN,0
ALMECILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)CSCC=C)C(=O)N2[C@H]1C(O)=O ALMECILLIN,0
AMANTOCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C34CC5CC(CC(N)(C5)C3)C4)C(=O)N2[C@H]1C(O)=O AMANTOCILLIN,0
AMOXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(cc3)O)C(=O)N2[C@H]1C(O)=O AMOXICILLIN,0
AMPICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O AMPICILLIN,0
APALCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(O)=O APALCILLIN,0
ASPOXICILLIN,CNC(=O)C[C@H](N)C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccc(cc1)O ASPOXICILLIN,0
AZIDOCILLIN,CC1(C)SC2C(NC(=O)C(N=[N+]=[N-])c3ccccc3)C(=O)N2C1C(O)=O AZIDOCILLIN,0
AZTREONAM,C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(O)=O)\c2csc(n2)N)C(=O)N1S(O)(=O)=O AZTREONAM,0
BACMECILLINAM,CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](/N=C/N1CCCCCC1)C2=O BACMECILLINAM,0
BENZYLPENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O BENZYLPENICILLIN,0
CEFPROZIL,C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccc(cc1)O)C2=O)C(O)=O CEFPROZIL,0
CARBENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(O)=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O CARBENICILLIN,0
